Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
19 SOLAR W/M2,EL CAJON LES,-6,-5,-4,-4,-1,36,136,426,676,818,924,975,962,890,762,590,391,190,35,-6,-6,-6,-6,-6,323,975,11
,KEARNY MESA,-1,-1,0,0,1,32,109,189,246,258,913,1027,1020,952,833,665,463,244,55,0,-1,-1,-1,-1,292,1027,11
25 NOY,EL CAJON LES,5.94,5.51,4.61,4.91,C,C,4.99,5.15,5.17,6.57,4.69,4.27,5.05,4.41,4.55,4.65,4.38,4.86,4.41,4.22,5.04,4.90,5.13,5.77,4.96,6.57,09
26 NOY-NO,EL CAJON LES,5.87,5.39,4.61,4.92,C,C,4.39,3.93,3.98,4.86,4.14,3.91,4.37,3.89,4.10,3.92,3.84,4.29,4.05,4.06,4.62,4.65,5.01,5.65,4.47,5.87,00
27 NO Trace,EL CAJON LES,.06,.12,.00,-.01,C,C,.59,1.22,1.18,1.70,.54,.35,.68,.52,.45,.72,.54,.56,.36,.15,.41,.24,.12,.11,.48,1.70,09
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,12
29 CO Tr PPB,EL CAJON LES,250.6,C,C,C,212.8,213.7,218.7,231.6,242.6,230.2,C,C,220.9,199.0,213.4,195.7,181.4,207.4,177.3,178.8,191.9,237.4,206.5,197.5,210.9,250.6,00
BCarbon ug/m3,10TH AVE MARINE TERM,.22,.23,.21,.24,.33,.30,.45,.43,.22,.28,.27,.25,.29,.32,.53,.31,.30,.30,.20,.16,.14,.14,.20,.23,.27,.53,14
,ALPINE,.22,.19,.22,.19,.19,.20,.24,.28,.42,.36,.36,.34,.33,.31,.29,.26,.28,.29,.29,.24,.32,.38,.42,.33,.29,.42,08
,CHICANO PARK,.34,.28,.29,.32,.34,.36,.47,.50,.27,.21,.21,.24,.22,.24,.24,.22,.18,.20,.21,.23,.28,.30,.27,.29,.28,.50,07
,DOWNTOWN SES,.50,.27,.31,.32,.31,.33,.30,.43,.28,.17,.18,.19,.18,.21,.22,.16,.15,.16,.18,.28,.26,.34,.38,.37,.27,.50,00
,OCEANVIEW BLVD,.37,.31,.24,.28,.27,.26,.27,.40,.27,.21,.20,.20,.21,.18,.17,.17,.18,.13,.19,.34,.34,.33,.36,.36,.26,.40,07
,SAN YSIDRO,.21,.19,.21,.19,.29,.35,.43,.41,.28,.24,.18,.16,.13,.14,.14,.14,.12,.09,.12,.12,.14,.17,.13,.12,.20,.43,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
